variable,lower,median,upper,distribution,label,Description,Remarks/ sources
num_years,30,NA,30,const,Years of simulation,Period of consideration (years) ,
num_simulation,100,NA,100,const,Number of Simulation,,
var_CV,1,NA,10,posnorm,Covariance (%),Covariance (%) ,edited upper from 25 to 10
discount_rate,2,NA,5,posnorm,Discount rate (%),Discount rate (%) ,3.6
agroforestry_area_percentage,0.05,NA,0.3,tnorm_0_1,Percentage of total area where trees will be planted,AF area share (%) ,Changed upper to 0.3 from 0.25
area,10,NA,10,const,Area for agroforestry system,Area for agroforestry system (ha) ,
AF_planning_costs,200,NA,1000,posnorm,Planning costs AF (base),Planning costs AF (base) (EUR) ,
AF_area_on_AF_planning_costs,10,NA,100,posnorm,Planning costs AF (area-based),Planning costs AF (area-based) (EUR/ha) ,
seedling_price_poplar_0.2m,0.15,NA,0.2908,posnorm,Price of cuttings 0.2 m poplar,Price of cuttings 0.2 m poplar (EUR/tree) ,
seedlings_ha_poplar_10_20Y,2500,NA,3333,posnorm,Planting density KU 10 to 20 years poplar,Planting density KU 10 to 20 years poplar (Trees/ha) ,
planting_costs_ha_mechanical,340,NA,800,posnorm,Planting price KU (mechanical),Planting price KU (mechanical) (EUR/ha) ,
tillage_costs_ha,59,NA,114,posnorm,Soil preparation,Soil preparation (EUR/ha) ,
tillage_planting_preparation_costs_ha,20,NA,49,posnorm,Seedbed preparation,Seedbed preparation (EUR/ha) ,
weed_control_costs_ha,36,NA,60,posnorm,Weed control,Weed control (EUR/ha) ,
fence_construction_costs_ha,650,NA,1500,posnorm,Cost of fencing work,Cost of fencing work (EUR/ha) ,
tree_upkeep_costs_ha_1stY,44,NA,179,posnorm,Maintenance costs KU year 1,Maintenance costs KU year 1 (EUR/ha) ,
tree_upkeep_costs_ha_after_1stY,5,NA,10,posnorm,Maintenance costs KU after year 1,Maintenance costs KU after year 1 (EUR/ha) ,
reconversion_cost_ha,269,NA,2550,posnorm,Reversion,Reversion (EUR/ha) ,
yield_poplar_MS_taDM_ha_a,6,NA,12,posnorm,Yield KU poplar MS,Yield KU poplar MS (tons of dry matter ha/yr (taDM/ha*a)) ,
harvest_interval,7,NA,7,const,Harvest interval,Harvest interval (years) ,"Changed to 7 from 10 as is the practice in Germany, it can vary between 5-7"
cutting_costs_taDM,20,NA,30,posnorm,Cost of felling,Cost of felling (EUR/ton) ,
chopping_costs_taDM,25,NA,35,posnorm,Cost of chipping,Cost of chipping (EUR/ton) ,
residual_moisture,0.1,NA,0.3,posnorm,Residual moisture 35%,Residual moisture %,
storage_costs_taDM,20,NA,35,posnorm,Storage cost until residual moisture 35%,Storage cost until residual moisture 35% (EUR/ton) ,
wood_chips_price_t,74,NA,119,posnorm,Price of wood chips KU 35% residual moisture,Price of wood chips KU 35% residual moisture (EUR/ha) ,
agroforestry_subsidies_ha,200,NA,200,const,Agroforestry subsidy,Agroforestry subsidy (EUR/ha) ,
land_lease_price_ha,180,NA,620,posnorm,Lease prices,Lease prices (EUR/ha) ,
seed_costs_ha,45,NA,75,posnorm,Seed,Seed (EUR/ha) ,
fertilizer_costs_ha,72,NA,145,posnorm,Fertilizer,Fertilizer (EUR/ha) ,
pest_weed_cost_ha,21,NA,44,posnorm,Plant protection products,Plant protection products (EUR/ha) ,
other_costs_field_ha,19.5,NA,25.6,posnorm,Other costs feed production,Other costs feed production (EUR/ton) ,
veterinary_costs_t_milk,11.5,NA,16.2,posnorm,Increase in veterinary costs due to heat stress,Increase in veterinary costs due to heat stress (EUR/ton) ,
insemination_costs_t_milk,5.2,NA,6.6,posnorm,Insemination,Insemination (EUR/ton) ,
other_costs_milk_t_milk,12.5,NA,17,posnorm,Other costs milk production,Other costs milk production (EUR/ton) ,
animal_purchase_costs_t_milk,3.5,NA,13,posnorm,Purchase of livestock,Purchase of livestock (EUR/ton) ,
feed_costs_t,85,NA,200,posnorm,Purchase of feed,Purchase of feed (EUR/ton) ,https://www.clal.it/en/?section=conf_foraggi&v=2
building_upkeep_costs,50,NA,500,posnorm,"Maintenance of buildings, Heating, electricity, ",Maintenance of buildings (EUR/yr) ,
labor_costs_ha,100,NA,200,posnorm,Personnel costs,Personnel costs (EUR/ha) ,
contractor_machinery_rent_costs_ha,202,NA,280,posnorm,Contract labor and machine rental,Contract labor and machine rental (EUR/ha) ,
fuels_lubricants_costs_ha,131,NA,222,posnorm,Fuel and lubricants,Fuel and lubricants (EUR/ha) ,
machinery_upkeep_costs_ha,125,NA,230,posnorm,Maintenance of machinery,Maintenance of machinery (EUR/ha) ,
insurances_costs_ha,79,NA,139,posnorm,Operational insurance,Operational insurance (EUR/ha) ,
other_costs_operation_ha,400,NA,612,posnorm,Other operational costs,Other operational costs (EUR/ha) ,
depreciation_ha,422,NA,553,posnorm,Depreciation,Depreciation (Cows/ha) ,
dry_days_per_cow,45,NA,60,posnorm,Number of dry days per cow in a year,,
mortality_rate,3,NA,5,posnorm,Cow mortality rate (%),,
d_mortality_rate,9,NA,26,posnorm,Cow mortality rate (%) under drought and heat stress,,
heat_vet_cost,0.01,NA,0.37,posnorm,Increase in veterinary costs due to heat stress (%) ,,
cow_labour,8,NA,25,posnorm,labour hours/ cow/year,,
Num_cows,10,NA,200,posnorm,Number of cows,,
feed_kg_year,1000,NA,1250,posnorm,concentrate feed per cow in KgDM/year,https://www.naturland.de/images/01_naturland/_en/Documents/Documents_Producers/01_Certification/02_ApplicationForms/Naturland_guidelines_for_the_calculation_of_concentrate_feed_use.pdf,
cows_ha,0.3,NA,1.3,posnorm,Cows per hectare (recommended min area per cow),Cows per hectare (tons/cow/year) ,lower bound changed to 0.3  as per https://www.lfl.bayern.de/mam/cms07/publikationen/daten/informationen/kurzrasenweide_lfl-information.pdf
milk_production_kg_cow_day,10,NA,30,posnorm,Milk yield per cow,Milk yield in Kg/d/per cow ,https://www.statista.com/statistics/1251626/milk-yield-per-cow-germany/
dairy_risk_events,0.1,NA,0.9,tnorm_0_1,Probability of risk events occuring that reduces milk production ,(%),
milk_loss_incl_production_perc,0.02,NA,0.05,tnorm_0_1,Milk loss when risk events occur,Milk loss (%) ,what risk event??
milk_production_grazing_perc,0.2,NA,0.25,posnorm,Share of milk yield from grazing,Share of milk yield from grazing (EUR/ton) ,is it € or %??
milk_price_t,320,NA,550,posnorm,Milk price,Milk price (EUR/ton) ,
other_animal_products_t_milk,44.4,NA,51.4,posnorm,Other animal products,Other animal products (EUR/t) ,
basic_subsidies_ha,158,NA,158,const,Income basis,Income basis (%) ,
drought_chance,0.1,NA,0.3,tnorm_0_1,Drought probability,Drought probability (%) ,
drought_effect,0.5,NA,0.8,tnorm_0_1,Relative yield during drought,Relative yield during drought (%) ,
drought_effect_milk_production,0.7,NA,0.85,tnorm_0_1,Relative milk yield during drought without AF,Relative milk yield during drought without AF (%) ,
AF_on_drought_effect_milk_production,0.02,NA,0.25,tnorm_0_1,Relative milk yield during drought AF,Relative milk yield during drought AF (%) ,
drought_effect_poplar_production,0.6,NA,0.8,tnorm_0_1,Relative poplar yield during drought AF,Relative poplar yield during drought AF (%) ,
drought_effect_poplar_died_chance_1stY,0.1,NA,0.3,tnorm_0_1,Probability of poplar dying year 1,Probability of poplar dying year 1 (%) ,
drought_effect_poplar_died_chance_after_1stY,0.1,NA,0.5,tnorm_0_1,Probability of poplar dying after year 1,Probability of poplar dying after year 1 (%) ,
drought_effect_poplar_died_perc_1stY,0.01,NA,0.1,tnorm_0_1,Share of poplar dying year 1,Share of poplar dying year 1 (%) ,
